run_id,chunker,semantic_threshold,model,missing_precision,missing_recall,missing_f1,missing_precision_macro_nonempty,missing_recall_macro_nonempty,missing_f1_macro_nonempty,missing_precision_micro,missing_recall_micro,missing_f1_micro,explained_precision,explained_recall,explained_f1,explained_accuracy,explained_precision_macro_nonempty,explained_recall_macro_nonempty,explained_f1_macro_nonempty,explained_accuracy_macro_nonempty,explained_precision_micro,explained_recall_micro,explained_f1_micro,explained_accuracy_micro
ablation_0,char,na,mention_only,0.188,0.597,0.263,0.249,0.792,0.348,0.172,0.779,0.281,0.836,0.973,0.88,0.932,0.852,0.991,0.897,0.931,0.846,0.989,0.912,0.932
ablation_0,char,na,explanation_heuristic,0.153,0.673,0.235,0.202,0.892,0.311,0.146,0.882,0.251,0.438,0.474,0.446,0.798,0.447,0.483,0.454,0.794,0.842,0.534,0.654,0.798
ablation_0,char,na,tfidf_definition,0.125,0.154,0.114,0.166,0.204,0.151,0.118,0.221,0.154,0.397,0.836,0.504,0.491,0.405,0.852,0.513,0.487,0.4,0.852,0.544,0.491
ablation_0,char,na,embedding_definition,0.069,0.226,0.094,0.091,0.3,0.124,0.109,0.279,0.157,0.434,0.726,0.482,0.492,0.442,0.739,0.491,0.502,0.388,0.73,0.506,0.492
ablation_0,char,na,llm_reasoning,0.136,0.509,0.197,0.181,0.675,0.26,0.131,0.632,0.217,0.356,0.427,0.317,0.528,0.362,0.435,0.323,0.533,0.348,0.37,0.359,0.528
ablation_0,char,na,neo4j_graph,0.14,0.686,0.223,0.185,0.908,0.296,0.137,0.897,0.238,0.59,0.429,0.455,0.745,0.602,0.437,0.463,0.742,0.76,0.418,0.539,0.745
ablation_1,semantic,0.45,mention_only,0.188,0.597,0.263,0.249,0.792,0.348,0.172,0.779,0.281,0.836,0.973,0.88,0.932,0.852,0.991,0.897,0.931,0.846,0.989,0.912,0.932
ablation_1,semantic,0.45,explanation_heuristic,0.142,0.673,0.226,0.188,0.892,0.299,0.142,0.882,0.244,0.437,0.442,0.428,0.791,0.446,0.451,0.436,0.787,0.868,0.487,0.624,0.791
ablation_1,semantic,0.45,tfidf_definition,0.123,0.129,0.106,0.164,0.171,0.14,0.124,0.191,0.15,0.391,0.853,0.501,0.46,0.398,0.869,0.51,0.465,0.386,0.868,0.534,0.46
ablation_1,semantic,0.45,embedding_definition,0.077,0.214,0.098,0.102,0.283,0.13,0.108,0.25,0.151,0.432,0.765,0.491,0.483,0.44,0.779,0.5,0.492,0.386,0.762,0.512,0.483
ablation_1,semantic,0.45,llm_reasoning,0.139,0.506,0.202,0.184,0.671,0.268,0.137,0.618,0.225,0.334,0.423,0.315,0.492,0.341,0.431,0.321,0.496,0.321,0.381,0.349,0.492
ablation_1,semantic,0.45,neo4j_graph,0.14,0.676,0.222,0.186,0.896,0.295,0.137,0.882,0.238,0.646,0.5,0.526,0.762,0.659,0.51,0.536,0.762,0.765,0.481,0.591,0.762
ablation_2,semantic,0.55,mention_only,0.188,0.597,0.263,0.249,0.792,0.348,0.172,0.779,0.281,0.836,0.973,0.88,0.932,0.852,0.991,0.897,0.931,0.846,0.989,0.912,0.932
ablation_2,semantic,0.55,explanation_heuristic,0.142,0.673,0.226,0.188,0.892,0.299,0.142,0.882,0.244,0.431,0.442,0.427,0.789,0.439,0.451,0.435,0.785,0.86,0.487,0.622,0.789
ablation_2,semantic,0.55,tfidf_definition,0.123,0.129,0.106,0.164,0.171,0.14,0.124,0.191,0.15,0.391,0.853,0.501,0.46,0.398,0.869,0.51,0.465,0.386,0.868,0.534,0.46
ablation_2,semantic,0.55,embedding_definition,0.077,0.214,0.098,0.102,0.283,0.13,0.109,0.25,0.152,0.431,0.765,0.49,0.481,0.44,0.779,0.499,0.49,0.385,0.762,0.512,0.481
ablation_2,semantic,0.55,llm_reasoning,0.139,0.509,0.196,0.185,0.675,0.26,0.131,0.603,0.215,0.365,0.434,0.333,0.513,0.372,0.442,0.34,0.517,0.341,0.392,0.365,0.513
ablation_2,semantic,0.55,neo4j_graph,0.139,0.667,0.221,0.185,0.883,0.292,0.136,0.868,0.236,0.66,0.504,0.531,0.762,0.673,0.514,0.541,0.762,0.76,0.487,0.594,0.762
ablation_3,semantic,0.65,mention_only,0.188,0.597,0.263,0.249,0.792,0.348,0.172,0.779,0.281,0.836,0.973,0.88,0.932,0.852,0.991,0.897,0.931,0.846,0.989,0.912,0.932
ablation_3,semantic,0.65,explanation_heuristic,0.141,0.673,0.225,0.187,0.892,0.298,0.142,0.882,0.244,0.43,0.438,0.425,0.787,0.439,0.447,0.433,0.783,0.858,0.481,0.617,0.787
ablation_3,semantic,0.65,tfidf_definition,0.133,0.138,0.115,0.176,0.183,0.153,0.131,0.206,0.16,0.391,0.849,0.5,0.46,0.398,0.865,0.509,0.465,0.385,0.862,0.533,0.46
ablation_3,semantic,0.65,embedding_definition,0.077,0.214,0.098,0.102,0.283,0.13,0.108,0.25,0.151,0.432,0.765,0.491,0.483,0.44,0.779,0.5,0.492,0.386,0.762,0.512,0.483
ablation_3,semantic,0.65,llm_reasoning,0.144,0.525,0.202,0.19,0.696,0.268,0.135,0.632,0.222,0.339,0.442,0.319,0.517,0.346,0.451,0.325,0.523,0.341,0.381,0.36,0.517
ablation_3,semantic,0.65,neo4j_graph,0.139,0.667,0.221,0.185,0.883,0.292,0.136,0.868,0.236,0.66,0.504,0.531,0.762,0.673,0.514,0.541,0.762,0.76,0.487,0.594,0.762
